hhid,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group
Y24H5970121,1,Casey (C),13,13
Y24H5970125,2,Casey (C),7,7
Y24H5970126,2,Casey (C),13,13
Y24H5970129,1,Casey (C),12,12
Y24H5970133,2,Casey (C),12,12
Y24H5970134,4,Casey (C),19,19
Y24H5970136,2,Casey (C),12,12
Y24H5970139,2,Casey (C),8,8
Y24H5970202,3,Greater Dandenong (C),10,10
Y24H5970204,1,Greater Dandenong (C),12,12
Y24H5970210,1,Greater Dandenong (C),8,8
Y24H5970211,2,Greater Dandenong (C),12,12
Y24H5970212,1,Greater Dandenong (C),9,9
Y24H5970214,2,Greater Dandenong (C),12,12
Y24H5970215,2,Greater Dandenong (C),16,16
Y24H5970216,2,Greater Dandenong (C),11,11
Y24H5970217,2,Greater Dandenong (C),14,14
Y24H5970218,1,Greater Dandenong (C),5,5
Y24H5970219,2,Greater Dandenong (C),3,3
Y24H5970220,1,Greater Dandenong (C),9,9
Y24H5970221,3,Greater Dandenong (C),13,13
Y24H5970224,2,Greater Dandenong (C),14,14
Y24H5970225,3,Greater Dandenong (C),2,2
Y24H5970227,2,Greater Dandenong (C),17,17
Y24H5970228,1,Greater Dandenong (C),12,12
Y24H5970231,1,Greater Dandenong (C),0,0
Y24H5970237,1,Greater Dandenong (C),4,4
Y24H5970238,1,Greater Dandenong (C),8,8
Y24H5970241,2,Greater Dandenong (C),9,9
Y24H5970303,1,Stonnington (C),12,12
Y24H5970311,2,Stonnington (C),14,14
Y24H5970312,0,Stonnington (C),12,12
Y24H5970321,1,Stonnington (C),10,10
Y24H5970322,1,Stonnington (C),17,17
Y24H5970324,2,Stonnington (C),9,9
Y24H5970328,1,Stonnington (C),12,12
Y24H5970329,2,Stonnington (C),14,14
Y24H5970333,2,Stonnington (C),12,12
Y24H5970335,1,Stonnington (C),8,8
Y24H5970337,1,Stonnington (C),7,7
Y24H5970339,1,Stonnington (C),12,12
Y24H5970341,2,Stonnington (C),3,3
Y24H5970401,1,Merri-bek (C),11,11
Y24H5970404,4,Merri-bek (C),10,10
Y24H5970405,1,Merri-bek (C),9,9
Y24H5970414,1,Merri-bek (C),15,15
Y24H5970415,1,Merri-bek (C),1,1
Y24H5970421,2,Merri-bek (C),12,12
Y24H5970425,2,Merri-bek (C),5,5
Y24H5970426,1,Merri-bek (C),14,14
Y24H5970427,2,Merri-bek (C),10,10
Y24H5970428,1,Merri-bek (C),12,12
Y24H5970429,2,Merri-bek (C),14,14
Y24H5970432,2,Merri-bek (C),18,18
Y24H5970436,0,Merri-bek (C),15,15
Y24H5970441,2,Merri-bek (C),11,11
Y24H5970442,2,Merri-bek (C),8,8
Y24H5980202,2,Boroondara (C),7,7
Y24H5980205,1,Boroondara (C),8,8
Y24H5980206,1,Boroondara (C),7,7
Y24H5980208,2,Boroondara (C),5,5
Y24H5980211,2,Boroondara (C),12,12
Y24H5980212,0,Boroondara (C),6,6
Y24H5980215,1,Boroondara (C),11,11
Y24H5980217,2,Boroondara (C),15,15
Y24H5980218,1,Boroondara (C),15,15
Y24H5980220,2,Boroondara (C),5,5
Y24H5980222,1,Monash (C),6,6
Y24H5980225,2,Monash (C),11,11
Y24H5980227,3,Monash (C),14,14
Y24H5980229,0,Monash (C),14,14
Y24H5980233,1,Monash (C),5,5
Y24H5980238,1,Monash (C),2,2
Y24H5980301,1,Stonnington (C),12,12
Y24H5980303,3,Stonnington (C),12,12
Y24H5980304,1,Stonnington (C),12,12
Y24H5980307,2,Stonnington (C),12,12
Y24H5980309,3,Stonnington (C),16,16
Y24H5980315,2,Stonnington (C),9,9
Y24H5980317,2,Stonnington (C),17,17
Y24H5980318,4,Stonnington (C),19,19
Y24H5980321,0,Stonnington (C),3,3
Y24H5980322,2,Glen Eira (C),13,13
Y24H5980325,0,Glen Eira (C),12,12
Y24H5980326,1,Glen Eira (C),6,6
Y24H5980328,1,Glen Eira (C),1,1
Y24H5980331,1,Glen Eira (C),4,4
Y24H5980337,0,Glen Eira (C),12,12
Y24H5980339,0,Glen Eira (C),7,7
Y24H5980342,0,Glen Eira (C),1,1
Y24H5980406,4,Hume (C),11,11
Y24H5980407,1,Hume (C),6,6
Y24H5980409,2,Hume (C),12,12
Y24H5980410,0,Hume (C),1,1
Y24H5980412,4,Hume (C),14,14
Y24H5980413,2,Hume (C),14,14
Y24H5980414,2,Hume (C),14,14
Y24H5980426,3,Hume (C),9,9
Y24H5980427,2,Hume (C),12,12
Y24H5980429,3,Hume (C),0,0
Y24H5980434,3,Hume (C),8,8
Y24H5980438,2,Hume (C),4,4
Y24H5980501,2,Wyndham (C),17,17
Y24H5980503,1,Wyndham (C),12,12
Y24H5980507,1,Wyndham (C),11,11
Y24H5980509,3,Wyndham (C),8,8
Y24H5980511,1,Wyndham (C),12,12
Y24H5980529,1,Wyndham (C),9,9
Y24H5980530,1,Wyndham (C),16,16
Y24H5980532,2,Wyndham (C),14,14
Y24H5980535,1,Wyndham (C),7,7
Y24H5980538,1,Wyndham (C),11,11
Y24H5990201,2,Yarra Ranges (S),10,10
Y24H5990202,2,Yarra Ranges (S),10,10
Y24H5990203,2,Yarra Ranges (S),16,16
Y24H5990209,2,Yarra Ranges (S),17,17
Y24H5990210,2,Yarra Ranges (S),13,13
Y24H5990211,4,Yarra Ranges (S),9,9
Y24H5990213,3,Yarra Ranges (S),12,12
Y24H5990216,3,Yarra Ranges (S),11,11
Y24H5990219,2,Yarra Ranges (S),17,17
Y24H5990222,2,Yarra Ranges (S),17,17
Y24H5990225,2,Yarra Ranges (S),4,4
Y24H5990227,2,Yarra Ranges (S),8,8
Y24H5990228,5,Yarra Ranges (S),16,16
Y24H5990230,4,Yarra Ranges (S),2,2
Y24H5990231,4,Yarra Ranges (S),9,9
Y24H5990232,1,Yarra Ranges (S),12,12
Y24H5990234,2,Yarra Ranges (S),13,13
Y24H5990236,3,Yarra Ranges (S),11,11
Y24H5990237,1,Yarra Ranges (S),10,10
Y24H5990240,3,Yarra Ranges (S),13,13
Y24H5990303,1,Bayside (C),6,6
Y24H5990304,3,Bayside (C),17,17
Y24H5990305,1,Bayside (C),14,14
Y24H5990309,1,Bayside (C),6,6
Y24H5990311,2,Bayside (C),12,12
Y24H5990312,1,Bayside (C),12,12
Y24H5990313,3,Bayside (C),7,7
Y24H5990314,1,Bayside (C),5,5
Y24H5990315,5,Bayside (C),18,18
Y24H5990317,1,Bayside (C),16,16
Y24H5990318,2,Bayside (C),13,13
Y24H5990321,2,Bayside (C),12,12
Y24H5990326,1,Glen Eira (C),14,14
Y24H5990327,2,Glen Eira (C),13,13
Y24H5990328,1,Glen Eira (C),5,5
Y24H5990333,1,Glen Eira (C),14,14
Y24H5990334,2,Glen Eira (C),8,8
Y24H5990337,1,Glen Eira (C),8,8
Y24H5990340,2,Glen Eira (C),18,18
Y24H5990341,2,Glen Eira (C),11,11
Y24H5990402,2,Whittlesea (C),15,15
Y24H5990403,1,Whittlesea (C),12,12
Y24H5990405,1,Whittlesea (C),6,6
Y24H5990407,2,Whittlesea (C),10,10
Y24H5990409,1,Whittlesea (C),12,12
Y24H5990413,1,Whittlesea (C),6,6
Y24H5990416,1,Whittlesea (C),10,10
Y24H5990418,0,Whittlesea (C),9,9
Y24H5990420,2,Whittlesea (C),13,13
Y24H5990422,1,Whittlesea (C),6,6
Y24H5990434,1,Whittlesea (C),6,6
Y24H5990439,1,Whittlesea (C),7,7
Y24H5990501,2,Maribyrnong (C),12,12
Y24H5990508,1,Maribyrnong (C),12,12
Y24H5990509,4,Maribyrnong (C),16,16
Y24H5990512,1,Maribyrnong (C),4,4
Y24H5990513,2,Maribyrnong (C),3,3
Y24H5990514,1,Maribyrnong (C),8,8
Y24H5990521,1,Maribyrnong (C),17,17
Y24H5990522,2,Maribyrnong (C),12,12
Y24H5990523,0,Maribyrnong (C),7,7
Y24H5990527,2,Maribyrnong (C),11,11
Y24H5990531,0,Maribyrnong (C),7,7
Y24H5990533,1,Maribyrnong (C),13,13
Y24H5990537,1,Maribyrnong (C),12,12
Y24H5990539,2,Maribyrnong (C),3,3
Y24H6000202,3,Manningham (C),18,18
Y24H6000203,2,Manningham (C),6,6
Y24H6000205,2,Manningham (C),7,7
Y24H6000207,2,Manningham (C),3,3
Y24H6000211,2,Manningham (C),15,15
Y24H6000212,2,Manningham (C),13,13
Y24H6000214,2,Manningham (C),17,17
Y24H6000217,2,Manningham (C),17,17
Y24H6000220,2,Manningham (C),8,8
Y24H6000221,2,Manningham (C),14,14
Y24H6000224,2,Manningham (C),12,12
Y24H6000226,1,Manningham (C),8,8
Y24H6000227,1,Manningham (C),3,3
Y24H6000228,2,Manningham (C),14,14
Y24H6000229,2,Manningham (C),16,16
Y24H6000230,2,Manningham (C),6,6
Y24H6000231,2,Manningham (C),9,9
Y24H6000236,2,Manningham (C),10,10
Y24H6000241,5,Manningham (C),8,8
Y24H6000242,1,Manningham (C),5,5
Y24H6000326,0,Port Phillip (C),9,9
Y24H6000328,1,Port Phillip (C),7,7
Y24H6000329,2,Port Phillip (C),17,17
Y24H6000337,2,Port Phillip (C),14,14
Y24H6000338,0,Port Phillip (C),12,12
Y24H6000340,1,Port Phillip (C),12,12
Y24H6000342,3,Port Phillip (C),12,12
Y24H6000501,2,Brimbank (C),9,9
Y24H6000503,1,Brimbank (C),13,13
Y24H6000505,2,Brimbank (C),8,8
Y24H6000506,2,Brimbank (C),8,8
Y24H6000507,2,Brimbank (C),15,15
Y24H6000508,1,Brimbank (C),12,12
Y24H6000511,1,Brimbank (C),11,11
Y24H6000515,2,Brimbank (C),8,8
Y24H6000516,1,Brimbank (C),6,6
Y24H6000517,0,Brimbank (C),2,2
Y24H6000529,1,Brimbank (C),4,4
Y24H6000534,1,Brimbank (C),4,4
Y24H6000537,1,Brimbank (C),4,4
Y24H6000541,2,Brimbank (C),7,7
Y24H6010102,2,Mornington Peninsula (S),15,15
Y24H6010105,2,Mornington Peninsula (S),6,6
Y24H6010108,2,Mornington Peninsula (S),14,14
Y24H6010109,4,Mornington Peninsula (S),17,17
Y24H6010111,3,Mornington Peninsula (S),14,14
Y24H6010113,2,Mornington Peninsula (S),16,16
Y24H6010117,1,Mornington Peninsula (S),6,6
Y24H6010119,2,Mornington Peninsula (S),2,2
Y24H6010121,2,Mornington Peninsula (S),15,15
Y24H6010124,2,Mornington Peninsula (S),11,11
Y24H6010125,3,Mornington Peninsula (S),12,12
Y24H6010127,3,Mornington Peninsula (S),6,6
Y24H6010130,2,Mornington Peninsula (S),9,9
Y24H6010132,2,Mornington Peninsula (S),11,11
Y24H6010134,5,Mornington Peninsula (S),19,19
Y24H6010138,3,Mornington Peninsula (S),11,11
Y24H6010141,2,Mornington Peninsula (S),12,12
Y24H6010206,2,Monash (C),8,8
Y24H6010207,0,Monash (C),8,8
Y24H6010209,3,Monash (C),18,18
Y24H6010213,2,Monash (C),13,13
Y24H6010215,4,Monash (C),19,19
Y24H6010216,3,Monash (C),12,12
Y24H6010217,2,Monash (C),15,15
Y24H6010218,2,Monash (C),8,8
Y24H6010222,1,Monash (C),17,17
Y24H6010223,2,Monash (C),13,13
Y24H6010224,1,Monash (C),15,15
Y24H6010226,0,Monash (C),8,8
Y24H6010227,2,Monash (C),14,14
Y24H6010228,3,Monash (C),18,18
Y24H6010231,2,Monash (C),18,18
Y24H6010233,2,Monash (C),15,15
Y24H6010235,2,Monash (C),8,8
Y24H6010237,2,Monash (C),12,12
Y24H6010240,2,Monash (C),6,6
Y24H6010505,2,Brimbank (C),12,12
Y24H6010508,1,Brimbank (C),1,1
Y24H6010509,2,Brimbank (C),10,10
Y24H6010513,1,Brimbank (C),10,10
Y24H6010516,1,Brimbank (C),4,4
Y24H6010521,1,Brimbank (C),4,4
Y24H6010523,3,Brimbank (C),4,4
Y24H6010534,2,Brimbank (C),12,12
Y24H6010535,3,Brimbank (C),15,15
Y24H6010536,3,Brimbank (C),8,8
Y24H6010537,1,Brimbank (C),4,4
Y24H6010540,2,Brimbank (C),3,3
Y24H6020201,3,Cardinia (S),11,11
Y24H6020202,3,Cardinia (S),15,15
Y24H6020203,2,Cardinia (S),12,12
Y24H6020204,1,Cardinia (S),9,9
Y24H6020205,2,Cardinia (S),5,5
Y24H6020206,2,Cardinia (S),15,15
Y24H6020208,3,Cardinia (S),17,17
Y24H6020209,2,Cardinia (S),5,5
Y24H6020211,3,Cardinia (S),5,5
Y24H6020213,2,Cardinia (S),15,15
Y24H6020216,1,Cardinia (S),7,7
Y24H6020218,5,Cardinia (S),18,18
Y24H6020220,2,Cardinia (S),18,18
Y24H6020226,2,Yarra Ranges (S),4,4
Y24H6020227,2,Yarra Ranges (S),5,5
Y24H6020231,2,Yarra Ranges (S),10,10
Y24H6020234,0,Yarra Ranges (S),4,4
Y24H6020236,1,Yarra Ranges (S),7,7
Y24H6020302,3,Glen Eira (C),14,14
Y24H6020307,1,Glen Eira (C),4,4
Y24H6020308,1,Glen Eira (C),6,6
Y24H6020310,1,Glen Eira (C),5,5
Y24H6020312,2,Glen Eira (C),13,13
Y24H6020313,2,Glen Eira (C),9,9
Y24H6020314,1,Glen Eira (C),12,12
Y24H6020315,1,Glen Eira (C),14,14
Y24H6020316,2,Glen Eira (C),14,14
Y24H6020319,1,Glen Eira (C),3,3
Y24H6020320,0,Glen Eira (C),10,10
Y24H6020322,1,Yarra (C),11,11
Y24H6020325,1,Yarra (C),12,12
Y24H6020326,2,Yarra (C),16,16
Y24H6020327,2,Yarra (C),14,14
Y24H6020328,1,Yarra (C),17,17
Y24H6020329,0,Yarra (C),15,15
Y24H6020330,3,Yarra (C),18,18
Y24H6020332,4,Yarra (C),13,13
Y24H6020333,1,Yarra (C),18,18
Y24H6020337,2,Yarra (C),14,14
Y24H6020338,1,Yarra (C),17,17
Y24H6020340,0,Yarra (C),11,11
Y24H6020404,3,Banyule (C),11,11
Y24H6020405,1,Banyule (C),0,0
Y24H6020406,2,Banyule (C),13,13
Y24H6020409,2,Banyule (C),13,13
Y24H6020412,2,Banyule (C),11,11
Y24H6020414,2,Banyule (C),13,13
Y24H6020417,2,Banyule (C),7,7
Y24H6020419,2,Banyule (C),2,2
Y24H6020420,1,Banyule (C),13,13
Y24H6020424,2,Banyule (C),15,15
Y24H6020426,1,Banyule (C),6,6
Y24H6020427,1,Banyule (C),13,13
Y24H6020428,1,Banyule (C),8,8
Y24H6020432,3,Banyule (C),18,18
Y24H6020433,1,Banyule (C),5,5
Y24H6020434,2,Banyule (C),14,14
Y24H6020437,1,Banyule (C),7,7
Y24H6020438,2,Banyule (C),17,17
Y24H6020439,3,Banyule (C),11,11
Y24H6020440,2,Banyule (C),6,6
Y24H6020441,1,Banyule (C),18,18
Y24H6020501,2,Hume (C),3,3
Y24H6020502,1,Hume (C),10,10
Y24H6020503,1,Hume (C),1,1
Y24H6020504,2,Hume (C),8,8
Y24H6020507,2,Hume (C),10,10
Y24H6020508,2,Hume (C),18,18
Y24H6020509,4,Hume (C),18,18
Y24H6020510,1,Hume (C),12,12
Y24H6020511,2,Hume (C),15,15
Y24H6020512,1,Hume (C),12,12
Y24H6020515,2,Hume (C),11,11
Y24H6020518,3,Hume (C),7,7
Y24H6020521,1,Hume (C),2,2
Y24H6020522,2,Hume (C),12,12
Y24H6020527,2,Hume (C),11,11
Y24H6020532,2,Hume (C),12,12
Y24H6020534,1,Hume (C),10,10
Y24H6020536,1,Hume (C),10,10
Y24H6020538,1,Hume (C),7,7
Y24H6020540,1,Hume (C),12,12
Y24H6026103,0,Greater Shepparton (C),4,4
Y24H6026105,1,Greater Shepparton (C),10,10
Y24H6026107,4,Greater Shepparton (C),19,19
Y24H6026108,1,Greater Shepparton (C),7,7
Y24H6026110,2,Greater Shepparton (C),8,8
Y24H6026113,0,Greater Shepparton (C),4,4
Y24H6026115,2,Greater Shepparton (C),7,7
Y24H6026116,1,Greater Shepparton (C),12,12
Y24H6026118,0,Greater Shepparton (C),4,4
Y24H6026119,1,Greater Shepparton (C),5,5
Y24H6026120,1,Greater Shepparton (C),12,12
Y24H6026123,2,Greater Shepparton (C),11,11
Y24H6026124,2,Greater Shepparton (C),6,6
Y24H6026128,0,Greater Shepparton (C),7,7
Y24H6026131,1,Greater Shepparton (C),6,6
Y24H6026132,2,Greater Shepparton (C),13,13
Y24H6026133,2,Greater Shepparton (C),13,13
Y24H6026137,1,Greater Shepparton (C),10,10
Y24H6026141,2,Greater Shepparton (C),7,7
Y24H6030101,1,Mornington Peninsula (S),7,7
Y24H6030102,3,Mornington Peninsula (S),6,6
Y24H6030103,0,Mornington Peninsula (S),18,18
Y24H6030105,4,Mornington Peninsula (S),17,17
Y24H6030106,2,Mornington Peninsula (S),12,12
Y24H6030111,3,Mornington Peninsula (S),6,6
Y24H6030112,2,Mornington Peninsula (S),10,10
Y24H6030115,2,Mornington Peninsula (S),10,10
Y24H6030116,1,Mornington Peninsula (S),4,4
Y24H6030119,1,Mornington Peninsula (S),9,9
Y24H6030121,2,Mornington Peninsula (S),6,6
Y24H6030122,4,Mornington Peninsula (S),14,14
Y24H6030123,2,Mornington Peninsula (S),13,13
Y24H6030127,1,Mornington Peninsula (S),8,8
Y24H6030128,3,Mornington Peninsula (S),6,6
Y24H6030129,1,Mornington Peninsula (S),3,3
Y24H6030132,2,Mornington Peninsula (S),7,7
Y24H6030133,2,Mornington Peninsula (S),11,11
Y24H6030134,2,Mornington Peninsula (S),12,12
Y24H6030140,1,Mornington Peninsula (S),16,16
Y24H6030142,2,Mornington Peninsula (S),12,12
Y24H6030201,3,Maroondah (C),13,13
Y24H6030206,2,Maroondah (C),13,13
Y24H6030207,2,Maroondah (C),18,18
Y24H6030208,2,Maroondah (C),12,12
Y24H6030209,2,Maroondah (C),11,11
Y24H6030210,2,Maroondah (C),17,17
Y24H6030212,2,Maroondah (C),4,4
Y24H6030214,1,Maroondah (C),9,9
Y24H6030218,4,Maroondah (C),13,13
Y24H6030223,2,Maroondah (C),12,12
Y24H6030225,1,Maroondah (C),14,14
Y24H6030226,2,Maroondah (C),12,12
Y24H6030227,2,Maroondah (C),12,12
Y24H6030228,1,Maroondah (C),7,7
Y24H6030229,2,Maroondah (C),14,14
Y24H6030230,2,Maroondah (C),3,3
Y24H6030231,2,Maroondah (C),6,6
Y24H6030233,1,Maroondah (C),2,2
Y24H6030234,2,Maroondah (C),12,12
Y24H6030235,2,Maroondah (C),14,14
Y24H6030236,2,Maroondah (C),12,12
Y24H6030238,1,Maroondah (C),8,8
Y24H6030240,2,Maroondah (C),7,7
Y24H6030241,1,Maroondah (C),15,15
Y24H6030242,2,Maroondah (C),14,14
Y24H6030402,2,Darebin (C),9,9
Y24H6030405,2,Darebin (C),17,17
Y24H6030414,2,Darebin (C),10,10
Y24H6030421,1,Darebin (C),12,12
Y24H6030425,1,Darebin (C),10,10
Y24H6030426,2,Darebin (C),6,6
Y24H6030429,2,Darebin (C),12,12
Y24H6030430,1,Darebin (C),15,15
Y24H6030433,2,Darebin (C),8,8
Y24H6030435,2,Darebin (C),7,7
Y24H6030438,2,Darebin (C),12,12
Y24H6030440,2,Darebin (C),11,11
Y24H6030441,1,Darebin (C),9,9
Y24H6030510,0,Wyndham (C),12,12
Y24H6030511,1,Wyndham (C),6,6
Y24H6030513,2,Wyndham (C),12,12
Y24H6030514,1,Wyndham (C),15,15
Y24H6030518,2,Wyndham (C),6,6
Y24H6030525,2,Wyndham (C),17,17
Y24H6030526,1,Wyndham (C),12,12
Y24H6030531,1,Wyndham (C),10,10
Y24H6030533,3,Wyndham (C),4,4
Y24H6030536,0,Wyndham (C),3,3
Y24H6030539,2,Wyndham (C),14,14
Y24H6030541,1,Wyndham (C),10,10
Y24H6036101,2,Campaspe (S),8,8
Y24H6036104,2,Campaspe (S),14,14
Y24H6036107,1,Campaspe (S),5,5
Y24H6036115,3,Campaspe (S),10,10
Y24H6036123,3,Campaspe (S),12,12
Y24H6036126,1,Campaspe (S),6,6
Y24H6036129,1,Campaspe (S),5,5
Y24H6036133,2,Campaspe (S),10,10
Y24H6036134,1,Campaspe (S),6,6
Y24H6036139,1,Campaspe (S),4,4
Y24H6036140,3,Campaspe (S),17,17
Y24H6036142,1,Campaspe (S),5,5
Y24H6036201,2,Greater Shepparton (C),3,3
Y24H6036204,1,Greater Shepparton (C),9,9
Y24H6036209,1,Greater Shepparton (C),9,9
Y24H6036210,2,Greater Shepparton (C),4,4
Y24H6036213,2,Greater Shepparton (C),7,7
Y24H6036215,0,Greater Shepparton (C),1,1
Y24H6036217,1,Greater Shepparton (C),2,2
Y24H6036220,2,Greater Shepparton (C),15,15
Y24H6036228,1,Greater Shepparton (C),2,2
Y24H6036236,2,Greater Shepparton (C),12,12
Y24H6036239,1,Greater Shepparton (C),4,4
Y24H6036241,2,Greater Shepparton (C),12,12
Y24H6040103,3,Cardinia (S),4,4
Y24H6040105,3,Cardinia (S),15,15
Y24H6040107,2,Cardinia (S),9,9
Y24H6040111,1,Cardinia (S),12,12
Y24H6040113,3,Cardinia (S),10,10
Y24H6040117,0,Cardinia (S),1,1
Y24H6040124,1,Cardinia (S),12,12
Y24H6040125,2,Cardinia (S),12,12
Y24H6040126,2,Cardinia (S),14,14
Y24H6040127,5,Cardinia (S),18,18
Y24H6040132,1,Cardinia (S),12,12
Y24H6040137,3,Cardinia (S),13,13
Y24H6040138,2,Cardinia (S),12,12
Y24H6040141,2,Cardinia (S),10,10
Y24H6040142,4,Cardinia (S),12,12
Y24H6040203,1,Manningham (C),12,12
Y24H6040205,1,Manningham (C),11,11
Y24H6040206,2,Manningham (C),14,14
Y24H6040207,2,Manningham (C),8,8
Y24H6040211,1,Manningham (C),1,1
Y24H6040217,1,Manningham (C),4,4
Y24H6040221,0,Manningham (C),5,5
Y24H6040224,2,Manningham (C),14,14
Y24H6040232,1,Manningham (C),5,5
Y24H6040235,1,Manningham (C),9,9
Y24H6040237,2,Manningham (C),7,7
Y24H6040239,2,Manningham (C),6,6
Y24H6040240,3,Manningham (C),12,12
Y24H6040241,1,Manningham (C),8,8
Y24H6040242,3,Manningham (C),18,18
Y24H6040301,1,Bayside (C),1,1
Y24H6040302,1,Bayside (C),16,16
Y24H6040304,1,Bayside (C),7,7
Y24H6040305,2,Bayside (C),18,18
Y24H6040306,2,Bayside (C),14,14
Y24H6040308,2,Bayside (C),4,4
Y24H6040309,2,Bayside (C),7,7
Y24H6040311,2,Bayside (C),13,13
Y24H6040312,1,Bayside (C),9,9
Y24H6040315,2,Bayside (C),17,17
Y24H6040316,2,Bayside (C),14,14
Y24H6040317,4,Bayside (C),14,14
Y24H6040318,2,Bayside (C),8,8
Y24H6040319,2,Bayside (C),17,17
Y24H6040321,4,Bayside (C),17,17
Y24H6040331,2,Kingston (C),17,17
Y24H6040338,1,Kingston (C),6,6
Y24H6040339,1,Kingston (C),12,12
Y24H6040340,0,Kingston (C),9,9
Y24H6040501,3,Melton (S),7,7
Y24H6040506,1,Melton (S),10,10
Y24H6040509,1,Melton (S),12,12
Y24H6040515,3,Melton (S),5,5
Y24H6040516,2,Melton (S),12,12
Y24H6040517,2,Melton (S),17,17
Y24H6040518,2,Melton (S),6,6
Y24H6040526,1,Melton (S),7,7
Y24H6040527,2,Melton (S),13,13
Y24H6040528,2,Melton (S),17,17
Y24H6040534,1,Melton (S),16,16
Y24H6040536,2,Melton (S),17,17
Y24H6040538,2,Melton (S),3,3
Y24H6040539,2,Melton (S),9,9
Y24H6046110,2,Campaspe (S),13,13
Y24H6046111,1,Campaspe (S),14,14
Y24H6046112,1,Campaspe (S),12,12
Y24H6046113,1,Campaspe (S),14,14
Y24H6046123,1,Greater Shepparton (C),7,7
Y24H6046124,0,Greater Shepparton (C),5,5
Y24H6046126,3,Greater Shepparton (C),12,12
Y24H6046129,1,Greater Shepparton (C),12,12
Y24H6046130,2,Greater Shepparton (C),17,17
Y24H6046131,1,Greater Shepparton (C),3,3
Y24H6046133,2,Greater Shepparton (C),14,14
Y24H6046135,1,Greater Shepparton (C),6,6
Y24H6046140,2,Greater Shepparton (C),11,11
Y24H6046205,1,Greater Shepparton (C),11,11
Y24H6046207,1,Greater Shepparton (C),1,1
Y24H6046208,3,Greater Shepparton (C),18,18
Y24H6046210,2,Greater Shepparton (C),13,13
Y24H6046212,1,Greater Shepparton (C),7,7
Y24H6046215,3,Greater Shepparton (C),8,8
Y24H6046216,1,Greater Shepparton (C),9,9
Y24H6046219,1,Greater Shepparton (C),8,8
Y24H6046220,1,Greater Shepparton (C),10,10
Y24H6046223,2,Greater Shepparton (C),6,6
Y24H6046225,1,Greater Shepparton (C),12,12
Y24H6046229,1,Greater Shepparton (C),3,3
Y24H6046233,1,Greater Shepparton (C),12,12
Y24H6046234,0,Greater Shepparton (C),15,15
Y24H6046235,2,Greater Shepparton (C),3,3
Y24H6046239,1,Greater Shepparton (C),14,14
Y24H6046241,1,Greater Shepparton (C),9,9
Y24H6050302,1,Glen Eira (C),2,2
Y24H6050303,3,Glen Eira (C),3,3
Y24H6050304,1,Glen Eira (C),4,4
Y24H6050305,3,Glen Eira (C),12,12
Y24H6050306,2,Glen Eira (C),18,18
Y24H6050308,2,Glen Eira (C),10,10
Y24H6050309,2,Glen Eira (C),7,7
Y24H6050312,2,Glen Eira (C),18,18
Y24H6050314,2,Glen Eira (C),13,13
Y24H6050315,2,Glen Eira (C),16,16
Y24H6050316,4,Glen Eira (C),17,17
Y24H6050321,1,Glen Eira (C),9,9
Y24H6050323,2,Glen Eira (C),12,12
Y24H6050324,1,Glen Eira (C),12,12
Y24H6050326,1,Glen Eira (C),18,18
Y24H6050332,1,Glen Eira (C),4,4
Y24H6050336,2,Glen Eira (C),13,13
Y24H6050338,1,Glen Eira (C),12,12
Y24H6050339,2,Glen Eira (C),10,10
Y24H6050340,2,Glen Eira (C),12,12
Y24H6050341,1,Glen Eira (C),9,9
Y24H6050409,4,Mitchell (S),11,11
Y24H6050413,1,Mitchell (S),13,13
Y24H6050414,1,Mitchell (S),1,1
Y24H6050415,3,Mitchell (S),15,15
Y24H6050420,2,Mitchell (S),13,13
Y24H6050427,1,Hume (C),12,12
Y24H6050432,2,Hume (C),13,13
Y24H6050441,2,Hume (C),10,10
Y24H6050503,2,Wyndham (C),7,7
Y24H6050506,2,Wyndham (C),15,15
Y24H6050507,2,Wyndham (C),11,11
Y24H6050508,1,Wyndham (C),7,7
Y24H6050509,1,Wyndham (C),14,14
Y24H6050511,1,Wyndham (C),12,12
Y24H6050512,1,Wyndham (C),12,12
Y24H6050517,1,Wyndham (C),12,12
Y24H6050518,3,Wyndham (C),18,18
Y24H6050520,2,Wyndham (C),18,18
Y24H6050521,2,Wyndham (C),18,18
Y24H6050526,1,Wyndham (C),2,2
Y24H6050527,1,Wyndham (C),14,14
Y24H6050530,2,Wyndham (C),15,15
Y24H6050532,2,Wyndham (C),13,13
Y24H6050536,1,Wyndham (C),1,1
Y24H6050539,3,Wyndham (C),9,9
Y24H6050540,1,Wyndham (C),15,15
Y24H6056101,1,Greater Shepparton (C),7,7
Y24H6056103,1,Greater Shepparton (C),4,4
Y24H6056104,2,Greater Shepparton (C),8,8
Y24H6056105,3,Greater Shepparton (C),13,13
Y24H6056107,2,Greater Shepparton (C),6,6
Y24H6056108,1,Greater Shepparton (C),12,12
Y24H6056111,2,Greater Shepparton (C),12,12
Y24H6056112,2,Greater Shepparton (C),13,13
Y24H6056113,1,Greater Shepparton (C),2,2
Y24H6056114,2,Greater Shepparton (C),8,8
Y24H6056118,3,Greater Shepparton (C),3,3
Y24H6056121,1,Greater Shepparton (C),8,8
Y24H6056122,2,Greater Shepparton (C),11,11
Y24H6056124,3,Greater Shepparton (C),9,9
Y24H6056125,2,Greater Shepparton (C),10,10
Y24H6056128,1,Greater Shepparton (C),7,7
