hhid,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,homesubregion_ASGS,homeregion_ASGS,dayType,weekly_hhinc_group,annual_hhinc_group
Y24H5990231,4,Separate House,Being Purchased,2,4,January,Wednesday,Yarra Ranges (S),20->24,35->39,55->59,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5990232,5,Separate House,Being Purchased,5,1,January,Thursday,Yarra Ranges (S),0->4,15->19,35->39,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5990234,2,Separate House,Fully Owned,2,2,January,Saturday,Yarra Ranges (S),50->54,60->64,70->74,MELB - Outer,Greater Melbourne,Weekend,13,13
Y24H5990236,2,Separate House,Fully Owned,3,3,January,Monday,Yarra Ranges (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5990237,4,Separate House,Fully Owned,4,1,January,Tuesday,Yarra Ranges (S),5->9,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5990240,4,Separate House,Being Purchased,2,3,January,Friday,Yarra Ranges (S),15->19,35->39,60->64,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5990303,2,Terrace or Townhouse,Fully Owned,0,1,January,Wednesday,Bayside (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H5990304,5,Separate House,Fully Owned,5,3,January,Thursday,Bayside (C),20->24,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,17,17
Y24H5990305,1,Separate House,Fully Owned,0,1,January,Friday,Bayside (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5990309,1,Separate House,Fully Owned,1,1,January,Tuesday,Bayside (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H5990311,4,Separate House,Fully Owned,4,2,January,Thursday,Bayside (C),15->19,35->39,60->64,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990312,2,Separate House,Fully Owned,5,1,January,Friday,Bayside (C),15->19,30->34,45->49,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990313,2,Terrace or Townhouse,Fully Owned,0,3,January,Saturday,Bayside (C),70->74,70->74,75->79,MELB - Middle,Greater Melbourne,Weekend,7,7
Y24H5990314,1,Terrace or Townhouse,Fully Owned,0,1,January,Sunday,Bayside (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekend,5,5
Y24H5990315,5,Separate House,Being Purchased,1,5,January,Monday,Bayside (C),15->19,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5990317,3,Separate House,Being Rented,3,1,January,Wednesday,Bayside (C),15->19,40->44,55->59,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5990318,4,Terrace or Townhouse,Being Rented,3,2,January,Thursday,Bayside (C),10->14,30->34,50->54,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5990321,2,Separate House,Fully Owned,1,2,January,Sunday,Bayside (C),25->29,45->49,60->64,MELB - Middle,Greater Melbourne,Weekend,12,12
Y24H5990326,4,Terrace or Townhouse,Being Rented,3,1,January,Friday,Glen Eira (C),0->4,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5990327,4,Terrace or Townhouse,Being Purchased,5,2,January,Saturday,Glen Eira (C),15->19,35->39,50->54,MELB - Middle,Greater Melbourne,Weekend,13,13
Y24H5990328,2,"Unit, Flat or Apartment",Being Rented,0,1,January,Sunday,Glen Eira (C),0->4,20->24,35->39,MELB - Middle,Greater Melbourne,Weekend,5,5
Y24H5990333,3,Terrace or Townhouse,Being Purchased,3,1,January,Friday,Glen Eira (C),5->9,20->24,45->49,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5990334,2,Terrace or Townhouse,Fully Owned,1,2,January,Saturday,Glen Eira (C),65->69,70->74,70->74,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H5990337,1,Separate House,Being Purchased,1,1,January,Tuesday,Glen Eira (C),40->44,40->44,40->44,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5990340,4,Separate House,Being Purchased,4,2,January,Friday,Glen Eira (C),5->9,25->29,50->54,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5990341,3,Terrace or Townhouse,Being Purchased,Missing/Refused,2,January,Saturday,Glen Eira (C),0->4,25->29,40->44,MELB - Middle,Greater Melbourne,Weekend,11,11
Y24H5990402,2,Terrace or Townhouse,Being Purchased,2,2,January,Tuesday,Whittlesea (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5990403,1,Separate House,Being Rented,0,1,January,Wednesday,Whittlesea (C),40->44,40->44,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5990405,2,Terrace or Townhouse,Being Rented,0,1,January,Friday,Whittlesea (C),25->29,30->34,35->39,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5990407,2,"Unit, Flat or Apartment",Being Rented,0,2,January,Sunday,Whittlesea (C),35->39,40->44,40->44,MELB - Outer,Greater Melbourne,Weekend,10,10
Y24H5990409,1,Terrace or Townhouse,Fully Owned,0,1,January,Tuesday,Whittlesea (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5990413,2,Terrace or Townhouse,Fully Owned,2,1,January,Saturday,Whittlesea (C),70->74,75->79,75->79,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5990416,3,"Unit, Flat or Apartment",Being Rented,0,1,January,Tuesday,Whittlesea (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5990418,3,Terrace or Townhouse,Being Rented,0,0,January,Thursday,Whittlesea (C),0->4,20->24,30->34,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5990420,2,Terrace or Townhouse,Being Purchased,0,2,January,Saturday,Whittlesea (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekend,13,13
Y24H5990422,2,Separate House,Being Rented,1,1,January,Monday,Whittlesea (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5990434,2,Separate House,Occupied Rent-Free,Missing/Refused,1,January,Saturday,Whittlesea (C),25->29,30->34,35->39,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5990439,2,Separate House,Fully Owned,0,1,January,Thursday,Whittlesea (C),60->64,60->64,65->69,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5990501,6,Separate House,Fully Owned,2,2,January,Monday,Maribyrnong (C),15->19,40->44,80->84,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990508,2,Terrace or Townhouse,Being Rented,0,1,January,Monday,Maribyrnong (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990509,3,Terrace or Townhouse,Fully Owned,0,4,January,Tuesday,Maribyrnong (C),0->4,30->34,50->54,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5990512,4,Terrace or Townhouse,Being Purchased,0,1,January,Friday,Maribyrnong (C),0->4,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,4,4
Y24H5990513,6,Separate House,Fully Owned,0,2,January,Saturday,Maribyrnong (C),10->14,35->39,65->69,MELB - Middle,Greater Melbourne,Weekend,3,3
Y24H5990514,1,Separate House,Being Purchased,0,1,January,Sunday,Maribyrnong (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H5990521,2,Separate House,Being Purchased,2,1,January,Sunday,Maribyrnong (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekend,17,17
Y24H5990522,2,Terrace or Townhouse,Fully Owned,Missing/Refused,2,January,Monday,Maribyrnong (C),60->64,60->64,60->64,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990523,3,"Unit, Flat or Apartment",Being Rented,0,0,January,Tuesday,Maribyrnong (C),10->14,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5990527,5,Separate House,Being Purchased,0,2,January,Saturday,Maribyrnong (C),15->19,45->49,65->69,MELB - Middle,Greater Melbourne,Weekend,11,11
Y24H5990531,2,"Unit, Flat or Apartment",Being Rented,0,0,January,Wednesday,Maribyrnong (C),50->54,55->59,65->69,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5990533,2,Terrace or Townhouse,Being Rented,0,1,January,Friday,Maribyrnong (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5990537,1,Terrace or Townhouse,Being Rented,1,1,January,Tuesday,Maribyrnong (C),35->39,35->39,35->39,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5990539,2,Separate House,Fully Owned,0,2,January,Thursday,Maribyrnong (C),20->24,25->29,30->34,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H6000202,3,Separate House,Being Purchased,3,3,January,Tuesday,Manningham (C),15->19,45->49,60->64,MELB - Outer,Greater Melbourne,Weekday,18,18
Y24H6000203,2,Separate House,Being Rented,8,2,January,Wednesday,Manningham (C),75->79,80->84,80->84,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H6000205,2,Separate House,Fully Owned,6,2,January,Friday,Manningham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H6000207,2,Separate House,Fully Owned,0,2,January,Sunday,Manningham (C),75->79,80->84,80->84,MELB - Outer,Greater Melbourne,Weekend,3,3
Y24H6000211,4,Separate House,Being Purchased,4,2,January,Thursday,Manningham (C),5->9,25->29,50->54,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H6000212,2,Separate House,Fully Owned,0,2,January,Friday,Manningham (C),40->44,50->54,60->64,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H6000214,2,Separate House,Being Purchased,4,2,January,Sunday,Manningham (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekend,17,17
Y24H6000217,4,Separate House,Being Purchased,2,2,January,Wednesday,Manningham (C),5->9,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H6000220,2,Separate House,Fully Owned,0,2,January,Saturday,Manningham (C),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekend,8,8
Y24H6000221,5,Separate House,Being Purchased,6,2,January,Sunday,Manningham (C),10->14,25->29,45->49,MELB - Outer,Greater Melbourne,Weekend,14,14
Y24H6000224,2,Separate House,Fully Owned,Missing/Refused,2,January,Wednesday,Manningham (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H6000226,5,Terrace or Townhouse,Fully Owned,2,1,January,Friday,Manningham (C),0->4,25->29,55->59,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H6000227,1,"Unit, Flat or Apartment",Fully Owned,0,1,January,Saturday,Manningham (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekend,3,3
Y24H6000228,3,Separate House,Fully Owned,0,2,January,Sunday,Manningham (C),45->49,60->64,70->74,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H6000229,3,Terrace or Townhouse,Fully Owned,2,2,January,Monday,Manningham (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H6000230,2,Separate House,Fully Owned,0,2,January,Tuesday,Manningham (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H6000231,2,Separate House,Fully Owned,0,2,January,Wednesday,Manningham (C),30->34,35->39,35->39,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H6000236,2,Separate House,Fully Owned,0,2,January,Monday,Manningham (C),70->74,70->74,75->79,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H6000241,2,Separate House,Fully Owned,0,5,January,Saturday,Manningham (C),70->74,70->74,75->79,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H6000242,2,Separate House,Fully Owned,0,1,January,Sunday,Manningham (C),75->79,80->84,80->84,MELB - Middle,Greater Melbourne,Weekend,5,5
Y24H6000326,1,Terrace or Townhouse,Fully Owned,1,0,January,Friday,Port Phillip (C),65->69,65->69,65->69,MELB - Inner,Greater Melbourne,Weekday,9,9
Y24H6000328,1,Terrace or Townhouse,Fully Owned,0,1,January,Sunday,Port Phillip (C),75->79,75->79,75->79,MELB - Inner,Greater Melbourne,Weekend,7,7
Y24H6000329,2,Terrace or Townhouse,Fully Owned,2,2,January,Monday,Port Phillip (C),25->29,40->44,60->64,MELB - Inner,Greater Melbourne,Weekday,17,17
Y24H6000337,4,Terrace or Townhouse,Fully Owned,1,2,January,Tuesday,Port Phillip (C),15->19,35->39,55->59,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H6000338,5,Terrace or Townhouse,Being Rented,0,0,January,Wednesday,Port Phillip (C),25->29,25->29,25->29,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H6000340,2,Terrace or Townhouse,Being Rented,2,1,January,Friday,Port Phillip (C),55->59,55->59,55->59,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H6000342,3,Terrace or Townhouse,Fully Owned,0,3,January,Sunday,Port Phillip (C),15->19,40->44,55->59,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H6000501,2,Separate House,Being Rented,0,2,January,Monday,Brimbank (C),25->29,25->29,25->29,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H6000503,4,Separate House,Fully Owned,0,1,January,Wednesday,Brimbank (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H6000505,3,Separate House,Being Rented,0,2,January,Friday,Brimbank (C),30->34,60->64,75->79,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H6000506,3,Separate House,Being Rented,0,2,January,Saturday,Brimbank (C),15->19,25->29,45->49,MELB - Outer,Greater Melbourne,Weekend,8,8
Y24H6000507,4,Terrace or Townhouse,Fully Owned,2,2,January,Sunday,Brimbank (C),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H6000508,2,Separate House,Being Purchased,0,1,January,Monday,Brimbank (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H6000511,3,Separate House,Being Rented,0,1,January,Thursday,Brimbank (C),5->9,25->29,35->39,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H6000515,4,Separate House,Being Rented,1,2,January,Monday,Brimbank (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H6000516,2,Separate House,Fully Owned,0,1,January,Tuesday,Brimbank (C),75->79,80->84,80->84,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H6000517,1,Separate House,Fully Owned,0,0,January,Wednesday,Brimbank (C),80->84,80->84,80->84,MELB - Outer,Greater Melbourne,Weekday,2,2
Y24H6000529,2,Separate House,Being Rented,0,1,January,Monday,Brimbank (C),70->74,75->79,85->89,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H6000534,1,Separate House,Fully Owned,0,1,January,Saturday,Brimbank (C),80->84,80->84,80->84,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H6000537,4,"Unit, Flat or Apartment",Being Purchased,2,1,January,Tuesday,Brimbank (C),10->14,20->24,45->49,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H6000541,3,Separate House,Being Rented,0,2,January,Saturday,Brimbank (C),25->29,25->29,30->34,MELB - Outer,Greater Melbourne,Weekend,7,7
Y24H6010102,4,Separate House,Fully Owned,Missing/Refused,2,January,Tuesday,Mornington Peninsula (S),20->24,45->49,65->69,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H6010105,2,Separate House,Fully Owned,0,2,February,Friday,Mornington Peninsula (S),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H6010108,2,Separate House,Fully Owned,0,2,January,Monday,Mornington Peninsula (S),65->69,65->69,70->74,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H6010109,4,Separate House,Fully Owned,0,4,January,Tuesday,Mornington Peninsula (S),25->29,40->44,60->64,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H6010111,3,Other,Being Purchased,0,3,February,Thursday,Mornington Peninsula (S),30->34,55->59,65->69,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H6010113,5,Separate House,Being Rented,5,2,February,Saturday,Mornington Peninsula (S),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekend,16,16
Y24H6010117,2,Separate House,Fully Owned,0,1,January,Wednesday,Mornington Peninsula (S),90->94,90->94,95->99,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H6010119,2,Separate House,Fully Owned,0,2,February,Friday,Mornington Peninsula (S),75->79,75->79,80->84,MELB - Outer,Greater Melbourne,Weekday,2,2
Y24H6010121,4,Separate House,Being Purchased,Missing/Refused,2,February,Sunday,Mornington Peninsula (S),10->14,25->29,45->49,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H6010124,4,Separate House,Being Purchased,4,2,January,Wednesday,Mornington Peninsula (S),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H6010125,3,Separate House,Fully Owned,3,3,February,Thursday,Mornington Peninsula (S),35->39,55->59,65->69,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H6010127,2,Separate House,Fully Owned,0,3,February,Saturday,Mornington Peninsula (S),65->69,70->74,75->79,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H6010130,2,Separate House,Fully Owned,Missing/Refused,2,January,Tuesday,Mornington Peninsula (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H6010132,2,Separate House,Fully Owned,2,2,February,Thursday,Mornington Peninsula (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H6010134,5,Separate House,Fully Owned,5,5,February,Saturday,Mornington Peninsula (S),15->19,30->34,50->54,MELB - Outer,Greater Melbourne,Weekend,19,19
Y24H6010138,3,Separate House,Being Purchased,Missing/Refused,3,January,Wednesday,Mornington Peninsula (S),65->69,75->79,95->99,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H6010141,2,Separate House,Fully Owned,0,2,February,Saturday,Mornington Peninsula (S),55->59,55->59,60->64,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H6010206,2,Separate House,Fully Owned,0,2,February,Saturday,Monash (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H6010207,1,Separate House,Fully Owned,0,0,February,Sunday,Monash (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H6010209,4,Separate House,Being Purchased,4,3,January,Tuesday,Monash (C),10->14,30->34,45->49,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H6010213,3,"Unit, Flat or Apartment",Being Rented,0,2,February,Saturday,Monash (C),20->24,30->34,35->39,MELB - Middle,Greater Melbourne,Weekend,13,13
Y24H6010215,4,Separate House,Fully Owned,0,4,January,Monday,Monash (C),30->34,45->49,55->59,MELB - Middle,Greater Melbourne,Weekday,19,19
Y24H6010216,5,Separate House,Being Purchased,4,3,January,Tuesday,Monash (C),0->4,20->24,45->49,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H6010217,4,Terrace or Townhouse,Being Purchased,1,2,January,Wednesday,Monash (C),10->14,30->34,45->49,MELB - Middle,Greater Melbourne,Weekday,15,15
Y24H6010218,4,Separate House,Being Purchased,3,2,February,Thursday,Monash (C),15->19,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H6010222,4,Terrace or Townhouse,Being Purchased,Missing/Refused,1,January,Monday,Monash (C),10->14,25->29,45->49,MELB - Middle,Greater Melbourne,Weekday,17,17
Y24H6010223,3,Separate House,Being Purchased,0,2,January,Tuesday,Monash (C),10->14,30->34,40->44,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H6010224,3,"Unit, Flat or Apartment",Being Purchased,3,1,January,Wednesday,Monash (C),15->19,35->39,55->59,MELB - Middle,Greater Melbourne,Weekday,15,15
Y24H6010226,2,"Unit, Flat or Apartment",Being Rented,Missing/Refused,0,February,Friday,Monash (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H6010227,2,Separate House,Fully Owned,0,2,February,Saturday,Monash (C),55->59,60->64,60->64,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H6010228,3,"Unit, Flat or Apartment",Fully Owned,1,3,February,Sunday,Monash (C),30->34,55->59,65->69,MELB - Middle,Greater Melbourne,Weekend,18,18
Y24H6010231,6,Terrace or Townhouse,Being Rented,3,2,January,Wednesday,Monash (C),0->4,35->39,65->69,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H6010233,2,"Unit, Flat or Apartment",Being Rented,0,2,February,Friday,Monash (C),45->49,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,15,15
Y24H6010235,2,Separate House,Being Purchased,0,2,February,Sunday,Monash (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekend,8,8
Y24H6010237,2,Terrace or Townhouse,Being Purchased,0,2,January,Tuesday,Monash (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H6010240,2,Terrace or Townhouse,Fully Owned,0,2,February,Friday,Monash (C),85->89,85->89,90->94,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H6010505,4,Separate House,Being Rented,4,2,February,Friday,Brimbank (C),10->14,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H6010508,2,Separate House,Being Rented,0,1,January,Monday,Brimbank (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekday,1,1
Y24H6010509,2,Separate House,Fully Owned,0,2,January,Tuesday,Brimbank (C),70->74,70->74,75->79,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H6010513,3,Separate House,Being Rented,Missing/Refused,1,February,Saturday,Brimbank (C),20->24,30->34,30->34,MELB - Middle,Greater Melbourne,Weekend,10,10
Y24H6010516,1,Separate House,Fully Owned,0,1,January,Tuesday,Brimbank (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,4,4
Y24H6010521,2,Separate House,Being Rented,2,1,February,Sunday,Brimbank (C),20->24,35->39,55->59,MELB - Middle,Greater Melbourne,Weekend,4,4
Y24H6010523,4,Separate House,Fully Owned,2,3,January,Tuesday,Brimbank (C),15->19,25->29,50->54,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H6010534,3,Separate House,Being Purchased,2,2,February,Saturday,Brimbank (C),0->4,25->29,40->44,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H6010535,2,Separate House,Being Purchased,3,3,February,Sunday,Brimbank (C),35->39,35->39,35->39,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H6010536,7,Separate House,Being Rented,Missing/Refused,3,January,Monday,Brimbank (C),5->9,25->29,45->49,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H6010537,1,"Unit, Flat or Apartment",Being Rented,0,1,January,Tuesday,Brimbank (C),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H6010540,3,"Unit, Flat or Apartment",Being Rented,0,2,February,Friday,Brimbank (C),10->14,40->44,65->69,MELB - Outer,Greater Melbourne,Weekday,3,3
Y24H6020201,4,Separate House,Fully Owned,Missing/Refused,3,February,Monday,Cardinia (S),15->19,30->34,45->49,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H6020202,3,Separate House,Being Purchased,0,3,February,Tuesday,Cardinia (S),25->29,50->54,65->69,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H6020203,2,Separate House,Being Purchased,0,2,February,Wednesday,Cardinia (S),50->54,55->59,60->64,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H6020204,2,Separate House,Being Rented,0,1,February,Thursday,Cardinia (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H6020205,2,Separate House,Being Purchased,0,2,February,Friday,Cardinia (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H6020206,2,Separate House,Being Purchased,0,2,February,Saturday,Cardinia (S),45->49,45->49,45->49,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H6020208,4,Separate House,Being Purchased,Missing/Refused,3,February,Monday,Cardinia (S),25->29,40->44,60->64,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H6020209,2,Separate House,Fully Owned,0,2,February,Tuesday,Cardinia (S),70->74,70->74,75->79,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H6020211,1,Separate House,Fully Owned,1,3,February,Thursday,Cardinia (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H6020213,2,Separate House,Being Purchased,0,2,February,Saturday,Cardinia (S),50->54,50->54,50->54,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H6020216,1,Separate House,Fully Owned,4,1,February,Tuesday,Cardinia (S),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H6020218,5,Separate House,Being Purchased,5,5,February,Thursday,Cardinia (S),20->24,35->39,55->59,MELB - Outer,Greater Melbourne,Weekday,18,18
Y24H6020220,2,Separate House,Being Purchased,Missing/Refused,2,February,Saturday,Cardinia (S),50->54,50->54,50->54,MELB - Outer,Greater Melbourne,Weekend,18,18
Y24H6020226,3,Separate House,Being Purchased,0,2,February,Friday,Yarra Ranges (S),15->19,45->49,60->64,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H6020227,3,Separate House,Fully Owned,0,2,February,Saturday,Yarra Ranges (S),20->24,40->44,55->59,MELB - Outer,Greater Melbourne,Weekend,5,5
Y24H6020231,4,Separate House,Fully Owned,0,2,February,Wednesday,Yarra Ranges (S),15->19,35->39,55->59,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H6020234,1,"Unit, Flat or Apartment",Being Rented,4,0,February,Saturday,Yarra Ranges (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H6020236,1,Separate House,Being Purchased,3,1,February,Monday,Yarra Ranges (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H6020302,3,Separate House,Fully Owned,Missing/Refused,3,February,Tuesday,Glen Eira (C),20->24,40->44,50->54,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H6020307,1,Terrace or Townhouse,Fully Owned,0,1,February,Sunday,Glen Eira (C),75->79,75->79,75->79,MELB - Inner,Greater Melbourne,Weekend,4,4
Y24H6020308,2,Separate House,Fully Owned,0,1,February,Monday,Glen Eira (C),75->79,80->84,90->94,MELB - Inner,Greater Melbourne,Weekday,6,6
Y24H6020310,1,Separate House,Fully Owned,0,1,February,Wednesday,Glen Eira (C),75->79,75->79,75->79,MELB - Inner,Greater Melbourne,Weekday,5,5
Y24H6020312,5,"Unit, Flat or Apartment",Being Rented,2,2,February,Friday,Glen Eira (C),5->9,25->29,50->54,MELB - Inner,Greater Melbourne,Weekday,13,13
Y24H6020313,2,Separate House,Fully Owned,1,2,February,Saturday,Glen Eira (C),70->74,70->74,70->74,MELB - Inner,Greater Melbourne,Weekend,9,9
Y24H6020314,1,Separate House,Being Rented,0,1,February,Sunday,Glen Eira (C),50->54,50->54,50->54,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H6020315,1,Separate House,Fully Owned,1,1,February,Monday,Glen Eira (C),45->49,45->49,45->49,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H6020316,1,Terrace or Townhouse,Being Purchased,2,2,February,Tuesday,Glen Eira (C),45->49,45->49,45->49,MELB - Inner,Greater Melbourne,Weekday,14,14
